╚╒╞┌,╩▒╝ф(▒▒╛й╩▒),╬│╢╚(╢╚-╖╓),╛н╢╚(╢╚-╖╓),╔ю╢╚(km),╒Ё╝╢,┴╥╢╚,╛л╚╖╢╚,▓╬┐╝╡╪╡у
1679/12/16,::.,"31бу24""","119бу30""",,5,,9,
1680/09/09,::.,"25бу00""","101бу30""",,6.75,,9,
1681/00/00,::.,"35бу48""","109бу24""",,5.5,VII,9,
1683/10/10,::.,"23бу06""","113бу12""",,5,VI,9,
1683/11/22,::.,"38бу42""","112бу42""",,7,IX,9,
1686/00/00,::.,"37бу06""","106бу24""",,5.5,VII,9,
1686/05/12,::.,"23бу30""","120бу24""",,5,,9,
1688/06/14,::.,"26бу30""","99бу54""",,6.25,VIII,9,
1692/09/12,::.,"24бу30""","103бу48""",,5.5,VII,9,
1693/04/25,::.,"23бу00""","115бу18""",,5,VI,9,
1694/05/00,::.,"25бу00""","121бу30""",,5.5,,9,
1695/05/18,::.,"36бу00""","111бу30""",,8,X,9,
1698/00/00,::.,"41бу30""","121бу12""",,5,VI,9,
1699/00/00,::.,"39бу48""","99бу30""",,4.75,VI,9,
1701/00/00,::.,"25бу12""","102бу30""",,5.75,VII,9,
1704/09/18,::.,"38бу00""","116бу30""",,5.5,VII,9,
1704/09/28,::.,"34бу54""","106бу48""",,6,,9,
1708/10/26,::.,"36бу42""","114бу42""",,5.5,VII,9,
1709/10/14,::.,"37бу24""","105бу18""",,7.5,IX,9,
1710/00/00,::.,"28бу30""","117бу36""",,4.75,VI,9,
1710/04/16,::.,"27бу48""","111бу18""",,5.5,VII,9,
1711/10/22,::.,"23бу30""","120бу00""",,6.5,VIII,9,
1713/02/26,::.,"25бу24""","103бу12""",,6.75,IX,9,
1713/09/04,::.,"32бу00""","103бу42""",,6.5,VIII,9,
1718/06/19,::.,"35бу00""","105бу12""",,7.5,X,9,
1720/07/12,::.,"40бу24""","115бу30""",,6.75,IX,9,
1720/10/31,::.,"23бу00""","120бу18""",,5.5,VII,9,
1721/01/05,::.,"23бу00""","120бу18""",,6,VIII,9,
1722/02/00,::.,"24бу12""","102бу24""",,5,VI,9,
1724/00/00,::.,"40бу24""","115бу12""",,5,VI,9,
1725/01/08,::.,"25бу06""","103бу06""",,6,VIII,9,
1725/08/02,::.,"30бу06""","101бу54""",,6,VIII,9,
1725/12/05,::.,"36бу36""","107бу18""",,5,VI,9,
1729/08/10,::.,"25бу36""","100бу18""",,5,VI,9,
1730/09/30,::.,"40бу00""","116бу12""",,6.5,VIII,9,
1730/00/00,::.,"36бу54""","117бу54""",,5,,9,
1732/01/29,::.,"27бу42""","102бу12""",,6.75,IX,9,
1732/11/00,::.,"23бу42""","102бу30""",,5,VI,9,
1733/08/02,::.,"26бу12""","103бу06""",,7.5,X,9,
1734/03/00,::.,"30бу18""","103бу30""",,5,VI,9,
1736/01/30,::.,"23бу06""","120бу18""",,6,VIII,9,
1737/09/30,::.,"35бу06""","114бу24""",,5.5,VII,9,
1738/00/00,::.,"33бу18""","96бу36""",,6.5,VIII,9,
1738/05/19,::.,"33бу12""","104бу12""",,5.5,VII,9,
1739/01/03,::.,"38бу48""","106бу30""",,8,X,9,
1739/02/23,::.,"38бу30""","106бу18""",,5.5,VII,9,
1741/11/14,::.,"23бу42""","102бу30""",,5,VI,9,
1742/00/00,::.,"32бу06""","110бу48""",,5,VI,9,
1743/06/30,::.,"30бу42""","118бу24""",,5,,9,
1746/07/29,::.,"40бу12""","116бу12""",,5,VI,9,
1748/02/23,::.,"31бу12""","103бу18""",,5.5,VII,9,
1748/03/06,::.,"30бу06""","101бу54""",,5.5,VII,9,
1748/05/02,::.,"32бу54""","103бу36""",,5.5,VII,9,
1748/08/30,::.,"30бу24""","101бу36""",,6,VII,9,
1748/11/21,::.,"36бу24""","106бу06""",,5.5,VII,9,
1749/02/28,::.,"22бу54""","112бу00""",,5,VI,9,
1750/09/15,::.,"24бу42""","102бу54""",,6,VIII,9,
